folder,filename,species_latin,species_common,confidence,time_start,time_end,azimuth_peak,azimuth_mean
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.8951,15.0,18.0,35.0,24.69
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.8373,16.5,19.5,35.0,35.0
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.6447,31.5,34.5,120.0,124.38
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.8695,33.0,36.0,120.0,120.31
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.7283,34.5,37.5,120.0,103.44
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.7451,46.5,49.5,175.0,125.0
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.897,48.0,51.0,85.0,121.56
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.8117,49.5,52.5,175.0,5.0
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.8933,61.5,64.5,30.0,40.0
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.947,63.0,66.0,30.0,18.75
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.5861,76.5,79.5,-65.0,-67.19
Lab,8m_wY_Bird_t01.wav,Troglodytes troglodytes,Eurasian Wren,0.7186,78.0,81.0,-65.0,-82.81
